Metric,Training,Validation,Test
Accuracy,0.9277944190446161,0.9070967741935484,0.9262899262899262
Macro Avg F1-score,0.6872225239456659,0.6413199582015892,0.6839372702099787
Weighted Avg F1-score,0.9219398665751315,0.8979992708525256,0.919643208103073
